seq	s	e	gc	n
chr1	43800000	43900000	0.42197	0.0
chr1	43900000	44000000	0.39943	0.0
chr1	44000000	44100000	0.38962	0.0
chr1	44100000	44200000	0.40144	0.0
chr1	44200000	44300000	0.40322	0.0
chr1	44300000	44400000	0.39076	0.0
chr1	44400000	44500000	0.3888	0.0
chr1	44500000	44600000	0.39843	0.0
chr1	44600000	44700000	0.38345	0.0
chr1	44700000	44800000	0.38262	0.0
chr1	44800000	44900000	0.367	0.0
chr1	44900000	45000000	0.38051	0.0
chr1	45000000	45100000	0.38111	0.0
chr1	45100000	45200000	0.38487	0.0
chr1	45200000	45300000	0.38758	0.0
chr1	45300000	45400000	0.36298	0.0
chr1	45400000	45500000	0.36787	0.0
chr1	45500000	45600000	0.37433	0.0
chr1	45600000	45700000	0.39585	0.0
chr1	45700000	45800000	0.39313	0.0
chr1	45800000	45900000	0.39748	0.0
chr1	45900000	46000000	0.39461	0.0
chr1	46000000	46100000	0.40569	0.0
chr1	46100000	46200000	0.39564	0.0
chr1	46200000	46300000	0.39515	0.0
chr1	46300000	46400000	0.39681	0.0
chr1	46400000	46500000	0.40622	0.0
chr1	46500000	46600000	0.39529	0.0
chr1	46600000	46700000	0.39303	0.0
chr1	46700000	46800000	0.3985	0.0
chr1	46800000	46900000	0.39356	0.0
chr1	46900000	47000000	0.3964	0.0
chr1	47000000	47100000	0.40166	0.0
chr1	47100000	47200000	0.3947	0.0
chr1	47200000	47300000	0.39149	0.0
chr1	47300000	47400000	0.36591	0.0
chr1	47400000	47500000	0.36995	0.0
chr1	47500000	47600000	0.36741	0.0
chr1	47600000	47700000	0.38409	0.0
chr1	47700000	47800000	0.37718	0.0
chr1	47800000	47900000	0.36496	0.0
chr1	47900000	48000000	0.36986	0.0
chr1	48000000	48100000	0.36067	0.0
chr1	48100000	48200000	0.37083	0.0
chr1	48200000	48300000	0.37329	0.0
chr1	48300000	48400000	0.3794	0.0
chr1	48400000	48500000	0.36911	0.0
chr1	48500000	48600000	0.37977	0.0
chr1	48600000	48700000	0.36505	0.0
chr1	48700000	48800000	0.37454	0.0
chr1	48800000	48900000	0.36738	0.0
chr1	48900000	49000000	0.36014	0.0
chr1	49000000	49100000	0.35299	0.0
chr1	49100000	49200000	0.35624	0.0
chr1	49200000	49300000	0.35656	0.0
chr1	49300000	49400000	0.38231	0.0
chr1	49400000	49500000	0.3551	0.0
chr1	49500000	49600000	0.36528	0.0
chr1	49600000	49700000	0.35752	0.0
chr1	49700000	49800000	0.36897	0.0
chr1	49800000	49900000	0.36366	0.0
chr1	49900000	50000000	0.35935	0.0
chr1	50000000	50100000	0.37197	0.0
chr1	50100000	50200000	0.35312	0.0
chr1	50200000	50300000	0.36782	0.0
chr1	50300000	50400000	0.35572	0.0
chr1	50400000	50500000	0.37566	0.0
chr1	50500000	50600000	0.36588	0.0
chr1	50600000	50700000	0.35086	0.0
chr1	50700000	50800000	0.37043	0.0
chr1	50800000	50900000	0.36599	0.0
chr1	50900000	51000000	0.38063	0.0
chr1	51000000	51100000	0.37822	0.0
chr1	51100000	51200000	0.38531	0.0
chr1	51200000	51300000	0.38975	0.0
chr1	51300000	51400000	0.41379	0.0
chr1	51400000	51500000	0.40554	0.0
chr1	51500000	51600000	0.40798	0.0
chr1	51600000	51700000	0.41875	0.0
chr1	51700000	51800000	0.41803	0.0
chr1	51800000	51900000	0.42315	0.0
chr1	51900000	52000000	0.43854	0.0
chr1	52000000	52100000	0.42025	0.0
chr1	52100000	52200000	0.42795	0.0
chr1	52200000	52300000	0.38285	0.0
chr1	52300000	52400000	0.42464	0.0
chr1	52400000	52500000	0.4134	0.0
chr1	52500000	52600000	0.40949	0.0
chr1	52600000	52700000	0.42009	0.0
chr1	52700000	52800000	0.41795	0.0
chr1	52800000	52900000	0.41463	0.0
chr1	52900000	53000000	0.40868	0.0
chr1	53000000	53100000	0.40371	0.0
chr1	53100000	53200000	0.38874	0.0
chr1	53200000	53300000	0.39696	0.0
chr1	53300000	53400000	0.39439	0.0
chr1	53400000	53500000	0.40667	0.0
chr1	53500000	53600000	0.39846	0.0
chr1	53600000	53700000	0.3976	0.0
chr1	53700000	53800000	0.40427	0.0
chr1	53800000	53900000	0.39772	0.0
chr1	53900000	54000000	0.40928	0.0
chr1	54000000	54100000	0.41897	0.0
chr1	54100000	54200000	0.40752	0.0
chr1	54200000	54300000	0.41022	0.0
chr1	54300000	54400000	0.40556	0.0
chr1	54400000	54500000	0.40461	0.0
chr1	54500000	54600000	0.39488	0.0
chr1	54600000	54700000	0.4118	0.0
chr1	54700000	54800000	0.41217	0.0
chr1	54800000	54900000	0.43204	0.0
chr1	54900000	55000000	0.44384	0.0
chr1	55000000	55100000	0.41608	0.0
chr1	55100000	55200000	0.42825	0.0
chr1	55200000	55300000	0.43336	0.0
chr1	55300000	55400000	0.38304	0.0
chr1	55400000	55500000	0.41686	0.0
chr1	55500000	55600000	0.4099	0.0
chr1	55600000	55700000	0.40769	0.0
chr1	55700000	55800000	0.41294	0.0
chr1	55800000	55900000	0.41431	0.0
chr1	55900000	56000000	0.39927	0.0
chr1	56000000	56100000	0.39545	0.0
chr1	56100000	56200000	0.38002	0.0
chr1	56200000	56300000	0.38103	0.0
chr1	56300000	56400000	0.38263	0.0
chr1	56400000	56500000	0.37938	0.0
chr1	56500000	56600000	0.37774	0.0
chr1	56600000	56700000	0.38091	0.0
chr1	56700000	56800000	0.40256	0.0
chr1	56800000	56900000	0.42062	0.0
chr1	56900000	57000000	0.40769	0.0
chr1	57000000	57100000	0.4191	0.0
chr1	57100000	57200000	0.42268	0.0
chr1	57200000	57300000	0.41994	0.0
chr1	57300000	57400000	0.4096	0.0
chr1	57400000	57500000	0.41203	0.0
chr1	57500000	57600000	0.41236	0.0
chr1	57600000	57700000	0.42412	0.0
chr1	57700000	57800000	0.42069	0.0
chr1	57800000	57900000	0.43397	0.0
chr1	57900000	58000000	0.43195	0.0
chr1	58000000	58100000	0.42014	0.0
chr1	58100000	58200000	0.44165	0.0
chr1	58200000	58300000	0.4397	0.0
chr1	58300000	58400000	0.45298	0.0
chr1	58400000	58500000	0.43445	0.0
chr1	58500000	58600000	0.39769	0.0
chr1	58600000	58700000	0.41592	0.0
chr1	58700000	58800000	0.44099	0.0
chr1	58800000	58900000	0.42315	0.0
chr1	58900000	59000000	0.42966	0.0
chr1	59000000	59100000	0.39659	0.0
chr1	59100000	59200000	0.42736	0.0
chr1	59200000	59300000	0.43029	0.0
chr1	59300000	59400000	0.43959	0.0
chr1	59400000	59500000	0.46187	0.0
chr1	59500000	59600000	0.45636	0.0
chr1	59600000	59700000	0.43836	0.0
chr1	59700000	59800000	0.40735	0.0
chr1	59800000	59900000	0.38558	0.0
chr1	59900000	60000000	0.41227	0.0
chr1	60000000	60100000	0.42059	0.0
chr1	60100000	60200000	0.39527	0.0
chr1	60200000	60300000	0.37995	0.0
chr1	60300000	60400000	0.38479	0.0
chr1	60400000	60500000	0.39722	0.0
chr1	60500000	60600000	0.38767	0.0
chr1	60600000	60700000	0.41828	0.0
chr1	60700000	60800000	0.41607	0.0
chr1	60800000	60900000	0.41059	0.0
chr1	60900000	61000000	0.42219	0.0
chr1	61000000	61100000	0.40364	0.0
chr1	61100000	61200000	0.41053	0.0
chr1	61200000	61300000	0.40934	0.0
chr1	61300000	61400000	0.41856	0.0
chr1	61400000	61500000	0.41305	0.0
chr1	61500000	61600000	0.41256	0.0
chr1	61600000	61700000	0.41277	0.0
chr1	61700000	61800000	0.39256	0.0
chr1	61800000	61900000	0.37326	0.0
chr1	61900000	62000000	0.3852	0.0
chr1	62000000	62100000	0.38639	0.0
chr1	62100000	62200000	0.3874	0.0
chr1	62200000	62300000	0.38866	0.0
chr1	62300000	62400000	0.3932	0.0
chr1	62400000	62500000	0.40329	0.0
chr1	62500000	62600000	0.4015	0.0
chr1	62600000	62700000	0.42928	0.0
chr1	62700000	62800000	0.45676	0.0
chr1	62800000	62900000	0.45308	0.0
chr1	62900000	63000000	0.43777	0.0
chr1	63000000	63100000	0.42959	0.0
chr1	63100000	63200000	0.42832	0.0
chr1	63200000	63300000	0.42824	0.0
chr1	63300000	63400000	0.40221	0.0
chr1	63400000	63500000	0.42196	0.0
chr1	63500000	63600000	0.40812	0.0
chr1	63600000	63700000	0.40928	0.0
chr1	63700000	63800000	0.41525	0.0
chr1	63800000	63900000	0.41614	0.0
chr1	63900000	64000000	0.41492	0.0
chr1	64000000	64100000	0.43105	0.0
chr1	64100000	64200000	0.4231	0.0
chr1	64200000	64300000	0.43131	0.0
chr1	64300000	64400000	0.4145	0.0
chr1	64400000	64500000	0.42356	0.0
chr1	64500000	64600000	0.41108	0.0
chr1	64600000	64700000	0.41061	0.0
chr1	64700000	64800000	0.42843	0.0
chr1	64800000	64900000	0.43704	0.0
chr1	64900000	65000000	0.4271	0.0
chr1	65000000	65100000	0.4291	0.0
chr1	65100000	65200000	0.42812	0.0
chr1	65200000	65300000	0.39407	0.0
chr1	65300000	65400000	0.40371	0.0
chr1	65400000	65500000	0.39838	0.0
chr1	65500000	65600000	0.39698	0.0
chr1	65600000	65700000	0.38472	0.0
chr1	65700000	65800000	0.38165	0.0
chr1	65800000	65900000	0.37778	0.0
chr1	65900000	66000000	0.38568	0.0
chr1	66000000	66100000	0.39558	0.0
chr1	66100000	66200000	0.37902	0.0
chr1	66200000	66300000	0.38645	0.0
chr1	66300000	66400000	0.38158	0.0
chr1	66400000	66500000	0.38448	0.0
chr1	66500000	66600000	0.39414	0.0
chr1	66600000	66700000	0.39937	0.0
